objectid,filename,title,item_information,format,location,date,creator,recipient,keywords,medium,rights,type
insal001,flyer001.pdf,Where Unions are Strong,multiple-page; documents,application/pdf,"Washington, DC",1968,"Unknown (Gargan, Joseph)",Public,"Kennedy, Robert, union(s), Indiana, 1968, campaign promotion, campaign, Kennedy for President Committee",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
insal002,flyer002.pdf,Kennedy Flyer Promises (small one),multiple-page; documents,application/pdf,"Washington, DC",1968,"Unknown (Gargan, Joseph)",Public,"Kennedy, Robert F. Kennedy, RFK, Vietnam, Ameican(s), crime, equal opportunity, ordinary, campaign promotion, campaign,",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
insal003,button001.pdf,RFK in '68 Campaign Button,multiple-page; documents,application/pdf,"New York, NY",1968,Unknown (N.G. Slater Corporation),Public,"RFK, 1968, campaign promotion, Indiana, button",Pin Button,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
insal004,paper001.jpg,Kennedy Sign,single-page; documents,image/jpg,"Washington, DC",1968,"Unknown (Gargan, Joseph)",Public,"Kennedy, campaign promotion, Indiana",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal005,speech001.pdf,Indianapolis Reverend MLK Jr. speech,multiple-page; documents,application/pdf,"Indianapolis, IN",4/4/1968,"Kennedy, Robert F.; Guthman, Edwin O.",Public,"RFK, Kennedy, Indiana, Indianapolis, John Lewis, MLK, MLK Jr., Martin Luther King, Richard Lugar, United States, black, white, speech, campus",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
insal006,speech002.pdf,The Conduct of American Foreign Policy,multiple-page; documents,application/pdf,"Bloomington, IN",4/24/1968,"Kennedy, Robert F.; Guthman, Edwin O.",Public,"RFK, Kennedy, Indiana, Bloomington, University of Indiana, Indiana University, Democratic, Vietnam, Johnson, war, 1968, America, campus, speech, foreign policy, Soviet Union",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
insal007,letter001.pdf,May 17 Letter,multiple-page; documents,application/pdf,"Washington, DC",5/17/1968,"Kennedy, Robert F.","Lied, Sally A.","Sally A. Lied, Kennedy, Robert F. Kennedy, RFK, Vietnam, politics, campaign, Foster, students, democracy, candidacy",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
insal008,letter002.jpg,April 30 Letter,single-page; documents,image/jpg,"Washington, DC",4/30/1968,"Kennedy, Robert F.","Lied, Sally A.","Sally A. Lied, Kennedy, Robert F. Kennedy, RFK, Democratic, candidacy",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal009,letter003.jpg,February 26 Letter,single-page; documents,image/jpg,"Bloomington, IN",2/26/1968,"Lied, Sally A.","Shepard, Martin","Sally A. Lied, Kennedy, Citizens for Kennedy, 1968, campus, college, students, Foster, newsletter, Senator Kennedy, chapter, Martin Shepard",Paper (onionskin),"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal0010,letter004.jpg,March 5 Letter,single-page; documents,image/jpg,"New York, NY",3/5/1968,"Shepard, Martin","Lied, Sally A.","Sally A. Lied, Bloomington, Indiana, Citizens for Kennedy, newsletter, 1968, Martin Shepard, chapter,",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal011,letter005.jpg,April 15 Letter MJK,single-page; documents,image/jpg,"Bloomington, IN",4/15/1968,"Lied, Sally A.","Kopechne, Mary Jo","Sally A. Lied, Mary Jo Kopechne, Washington D.C., Bloomington, Indiana, Pennsylvania, civil rights, RFK, Senator, housing, Kennedy, Nixon, McCarthy, Pat Loftus, foreign aid, newletter",Paper (onionskin),"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
